iter	Logloss
0	0.6928028584
1	0.6924390542
2	0.6920388736
3	0.6915571824
4	0.6912730226
5	0.6907775167
6	0.690536679
7	0.6901129746
8	0.6896025378
9	0.6892695856
10	0.6888867852
11	0.6886901368
12	0.6883139508
13	0.6879731168
14	0.6877693112
15	0.6872892869
16	0.6869563643
17	0.686566781
18	0.6862713054
19	0.685898935
20	0.6856175003
21	0.6851584459
22	0.684888016
23	0.6845113247
24	0.6841179132
25	0.6835835786
26	0.6833505968
27	0.6829374321
28	0.6824885476
29	0.6820307757
30	0.6815309693
31	0.6811813412
32	0.6809335626
33	0.6806527163
34	0.6803251351
35	0.6799089641
36	0.6794602326
37	0.6789785863
38	0.6786902208
39	0.6783256893
40	0.6780555453
41	0.6777802511
42	0.6777118949
43	0.6774399847
44	0.6770087677
45	0.6767918168
46	0.676519038
47	0.6763252438
48	0.6760867549
49	0.6758849118
50	0.6756370052
51	0.6752994163
52	0.6750964923
53	0.6748516915
54	0.6744914495
55	0.6741417284
56	0.6739512355
57	0.6737330202
58	0.6735212102
59	0.6732662464
60	0.6727756546
61	0.672475915
62	0.6720376456
63	0.6718441933
64	0.6716366503
65	0.671321358
66	0.671116451
67	0.6708768322
68	0.6706332619
69	0.6703250241
70	0.669884502
71	0.6696979226
72	0.6693995296
73	0.6692503083
74	0.6690599475
75	0.6687776697
76	0.6685691547
77	0.6683419089
78	0.6681423492
79	0.6679277529
80	0.6676944432
81	0.6674347797
82	0.6672452179
83	0.6670619392
84	0.666725967
85	0.6665200201
86	0.66630099
87	0.6660460568
88	0.6656575115
89	0.6652716458
90	0.6650432394
91	0.6646797165
92	0.6644775632
93	0.6641052433
94	0.6638790943
95	0.6635002761
96	0.6632915526
97	0.6629488494
98	0.6625352571
99	0.6623522328
100	0.6619701483
101	0.6616387813
102	0.6615240587
103	0.6612301531
104	0.6610760454
105	0.6606546004
106	0.6604721007
107	0.6603195819
108	0.6601915231
109	0.6598938053
110	0.6596900657
111	0.6595093827
112	0.6593275305
113	0.6590599889
114	0.6588197666
115	0.6584688598
116	0.65824145
117	0.6580264318
118	0.6579420748
119	0.6577283088
120	0.6573724969
121	0.6571641453
122	0.6568972285
123	0.6565997089
124	0.6562565847
125	0.6559273765
126	0.6557831056
127	0.6556701032
128	0.6554209461
129	0.6550662747
130	0.6548630354
131	0.654641676
132	0.6544996212
133	0.6542740122
134	0.6539242057
135	0.6536912075
136	0.6535119019
137	0.6533715581
138	0.6529224393
139	0.6527573551
140	0.6525042645
141	0.6522256162
142	0.6519336754
143	0.6517167905
144	0.6514403355
145	0.6513081498
146	0.6511595995
147	0.6509465571
148	0.650756802
149	0.6505804904
150	0.6501975652
151	0.6496842983
152	0.6494902791
153	0.6493291463
154	0.6490819973
155	0.6488533248
156	0.6486205724
157	0.6484664719
158	0.6482438934
159	0.6480455351
160	0.6478376462
161	0.6474907423
162	0.6472482702
163	0.6470489171
164	0.6468562042
165	0.6465788218
166	0.6464459776
167	0.6462446346
168	0.6459324379
169	0.6457219778
170	0.6454225993
171	0.6451046989
172	0.6448936437
173	0.6447762486
174	0.6446231437
175	0.6443693289
176	0.6441190115
177	0.643891696
178	0.643669859
179	0.6434569061
180	0.6433433559
181	0.6431197476
182	0.6430156573
183	0.6428175981
184	0.6426565478
185	0.6424705409
186	0.642244888
187	0.6420601312
188	0.6418287352
189	0.6415279452
190	0.6412733418
191	0.6410669737
192	0.6408698386
193	0.6406766152
194	0.640189864
195	0.6400460621
196	0.6397380488
197	0.6393889179
198	0.6391198411
199	0.6388567899
200	0.6384956956
201	0.6381436717
202	0.6378731129
203	0.6375731826
204	0.6373365419
205	0.6371428127
206	0.6367846767
207	0.6364961443
208	0.6363491887
209	0.6361757613
210	0.6360095231
211	0.6358513907
212	0.6355977557
213	0.6353693671
214	0.6351291519
215	0.6348636402
216	0.6346194124
217	0.6344909712
218	0.6342431639
219	0.6339362136
220	0.6336998258
221	0.633528581
222	0.6332335638
223	0.6330492696
224	0.6328020923
225	0.6326652641
226	0.6325341608
227	0.6322692773
228	0.6320661071
229	0.6318099075
230	0.6316453905
231	0.6313592364
232	0.6311585999
233	0.6309265611
234	0.6305413212
235	0.6302326837
236	0.6300952872
237	0.6299918608
238	0.6297437389
239	0.6294538655
240	0.6292825863
241	0.6290949405
242	0.6287816459
243	0.6283914577
244	0.6281453747
245	0.6280373065
246	0.6279559637
247	0.6277474747
248	0.6275261353
249	0.6273384094
250	0.627093075
251	0.6268461785
252	0.6265021087
253	0.6263702962
254	0.6261382863
255	0.6259851959
256	0.6257998112
257	0.6254697387
258	0.6251232367
259	0.6248023648
260	0.6245467173
261	0.6243643668
262	0.6242104099
263	0.6238792892
264	0.6237434037
265	0.6236502013
266	0.623443514
267	0.6232536235
268	0.6230792532
269	0.6228160243
270	0.6225385953
271	0.6223752594
272	0.622197383
273	0.6219464888
274	0.6217575721
275	0.6215871969
276	0.6214468973
277	0.6212768106
278	0.62106092
279	0.6208980163
280	0.620665876
281	0.6205057958
282	0.620361752
283	0.6202171059
284	0.61998845
285	0.6198209445
286	0.6196931924
287	0.6195475661
288	0.6193390453
289	0.6190687913
290	0.6189455724
291	0.6185726508
292	0.6184135391
293	0.6181894834
294	0.6180407432
295	0.6179068572
296	0.617482685
297	0.6172920557
298	0.6171158679
299	0.6169342745
300	0.6167650965
301	0.6166223782
302	0.6162724294
303	0.6160314345
304	0.6156930436
305	0.6154289651
306	0.6153316791
307	0.6150583383
308	0.6148863615
309	0.6145916786
310	0.614461103
311	0.6142858663
312	0.6139630096
313	0.613770841
314	0.6136049481
315	0.6133530519
316	0.613164334
317	0.6129319595
318	0.6126168419
319	0.6123778917
320	0.6122069698
321	0.6120005926
322	0.6119189051
323	0.6118224633
324	0.6117276826
325	0.6116025902
326	0.6114953983
327	0.6113672203
328	0.611105762
329	0.6108843812
330	0.6106315629
331	0.610422892
332	0.6103388296
333	0.6102289122
334	0.6100341991
335	0.6098386188
336	0.6095360825
337	0.6092899614
338	0.6091319522
339	0.6088876825
340	0.6087524947
341	0.6085815755
342	0.608454175
343	0.6083644521
344	0.6081840027
345	0.6080407969
346	0.6079265678
347	0.6077113181
348	0.6075225696
349	0.6072630969
350	0.6069409403
351	0.6067312272
352	0.6064234318
353	0.6062885069
354	0.6060753187
355	0.6059201822
356	0.6056516348
357	0.6054673115
358	0.6052933583
359	0.6049721188
360	0.604732582
361	0.6045418737
362	0.6042554238
363	0.6040386307
364	0.6038336143
365	0.6036883046
366	0.6033884869
367	0.60326271
368	0.6031101433
369	0.6029686826
370	0.6028826817
371	0.6027299662
372	0.6022514829
373	0.6021528123
374	0.6017876972
375	0.6014731514
376	0.6013254454
377	0.6011265412
378	0.6008781915
379	0.6006572414
380	0.6004863559
381	0.6004050653
382	0.600255679
383	0.6001014148
384	0.599936625
385	0.5997752223
386	0.5996741609
387	0.5994123776
388	0.5991595518
389	0.5989833654
390	0.5988764644
391	0.5987706514
392	0.5986081378
393	0.5983169633
394	0.5981288966
395	0.5978605127
396	0.597686602
397	0.5975166221
398	0.5973551307
399	0.5971271356
400	0.5969643509
401	0.5967152381
402	0.5966405282
403	0.5964638802
404	0.5962708326
405	0.5960707078
406	0.5959681866
407	0.5958366941
408	0.595747792
409	0.5955281739
410	0.5952803471
411	0.5951116196
412	0.5949879633
413	0.5947951116
414	0.5946483609
415	0.594459647
416	0.5941933591
417	0.5940407325
418	0.5938352058
419	0.5936365814
420	0.5935269324
421	0.5932499699
422	0.5930245705
423	0.5928950982
424	0.5926131596
425	0.5924013453
426	0.5923328663
427	0.5922140125
428	0.591868447
429	0.5918077786
430	0.5917038463
431	0.591462514
432	0.5912891837
433	0.5911684758
434	0.5910159358
435	0.5907699486
436	0.590571331
437	0.5902651255
438	0.5900443755
439	0.589839466
440	0.5896200042
441	0.5893230819
442	0.5891666689
443	0.5888986106
444	0.588696547
445	0.5885350478
446	0.5882664827
447	0.5880015181
448	0.5879036251
449	0.5877094841
450	0.5875086207
451	0.5873873268
452	0.5872355182
453	0.5870973046
454	0.5867883845
455	0.5867010157
456	0.5864354239
457	0.5861634397
458	0.5860053286
459	0.5857876681
460	0.5856192622
461	0.5854476942
462	0.5853205031
463	0.5851210722
464	0.5848919578
465	0.584710044
466	0.5844006435
467	0.5842879863
468	0.5841820141
469	0.5839707028
470	0.5837970704
471	0.5834700682
472	0.5832866594
473	0.5830947757
474	0.5829123231
475	0.5827146277
476	0.5825317015
477	0.5824289333
478	0.5822747191
479	0.5821786981
480	0.5819520211
481	0.5817248289
482	0.5815431675
483	0.5814050591
484	0.58127875
485	0.5810034282
486	0.580805048
487	0.5806099116
488	0.5804473552
489	0.5802899817
490	0.5800450273
491	0.579763475
492	0.5795996428
493	0.5793308257
494	0.579208006
495	0.5790455179
496	0.5789013895
497	0.5786628634
498	0.5784240439
499	0.5782658755
500	0.5779798995
501	0.5777702821
502	0.5775060264
503	0.577213239
504	0.5771495355
505	0.5769660317
506	0.5767990744
507	0.5765317916
508	0.5764017653
509	0.5761109801
510	0.5759115287
511	0.5757788206
512	0.5755004932
513	0.5753505178
