Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-09-30;8;null;946,3;19;7,1;3;
2017-10-31;15;184,2;942;17,7;10,3;3,2;
2017-11-30;12;162,4;941,4;18,1;7,7;2,9;
2017-12-31;11;95,4;940,7;21,7;7,6;2,8;
2018-01-31;15;146,6;941,4;21,4;7,1;2,8;
2018-02-28;9;85;942,5;21;6,7;2,8;
2018-03-31;15;82,4;941,8;20,4;7,9;2,4;
2018-04-30;9;82,2;946,2;20,3;5,8;2,5;
2018-05-31;11;118,6;946,7;15,5;7;2,7;
2018-06-30;16;179,4;947;11,7;8,9;2,4;
2018-07-31;17;163;946,9;13,1;7,2;2,9;
2018-08-31;13;177;947,4;12;7,8;2,9;
2018-09-30;13;221,4;943,8;17;8,2;3;
2018-10-31;14;221;943,3;17,2;7,5;3,1;
2018-11-30;11;186,2;942,4;20,1;8;3;
2018-12-31;13;139,6;942,3;21,2;9,3;2,6;
2019-01-31;15;131,4;943;23,5;7,8;2,8;
2019-02-28;13;72,8;942,5;21,1;8,5;2,6;
2019-03-31;11;82,6;944,7;19,8;6,3;2,6;
2019-04-30;15;161;943,9;18,9;8;2,3;
2019-05-31;7;null;null;null;null;null;
2019-06-30;9;35,8;947,2;16,2;9,2;3,1;
2019-07-31;12;77,4;947,4;12,2;7,6;2,8;
2019-08-31;8;90,8;949,3;13,5;7,9;3,2;
2019-09-30;12;79;945,4;15,4;8,5;3;
2019-10-31;17;258,4;943,7;18,5;9,4;3;
2019-11-30;16;157,6;942;19,9;6,8;2,9;
2019-12-31;7;33,4;941,4;22,3;6,8;2,9;
2020-01-31;15;148,8;941,2;22,1;6,4;2,7;
2020-02-29;8;68,4;943,3;21,5;6,9;2,9;
2020-03-31;6;33;944,5;22,1;6,5;2,9;
2020-04-30;2;null;946,4;18,5;6,5;2,9;
2020-05-31;11;134,6;945,6;14,8;8,1;2,8;
2020-06-30;13;198,2;945;14,8;8;3,4;
2020-07-31;18;360,6;945,8;11,3;8,2;3;
2020-08-31;7;111,8;947;14,7;8,1;2,8;
2020-09-30;17;134,4;944,9;16,2;8;2,8;
2020-10-31;7;50;943,2;18,1;7,5;2,9;
2020-11-30;7;39;943,6;19,3;8,3;2,9;
2020-12-31;16;125;941,4;21,1;7,5;2,9;
2021-01-31;17;180,8;941,5;21,9;7,7;2,9;
2021-02-28;10;109,8;941,9;20,9;8;2,5;
2021-03-31;18;148,6;942,6;20,5;6,7;2,2;
2021-04-30;6;6,8;946,3;18,3;6,3;2,7;
2021-05-31;17;198;945,9;13,1;8,9;2,6;
2021-06-30;14;167,2;947,1;12,1;9,7;2,7;
2021-07-31;8;35,4;948,6;12,2;6,6;2,9;
2021-08-31;12;117,2;947,4;15,2;7,6;3;
2021-09-30;13;157,4;944,3;16,4;8,3;2,8;
2021-10-31;14;105,8;943,8;17,2;8,8;3;
2021-11-30;9;40,2;941,6;19,6;7,7;2,9;
2021-12-31;5;31,2;941,4;21,5;5,7;2,9;
2022-01-31;11;81,6;941,1;23,9;11,2;3,1;
2022-02-28;10;100,2;941,7;22,4;6,2;2,6;
2022-03-31;21;177,8;942,9;19,9;6,7;2,7;
2022-04-30;12;154;944,4;17,3;6,7;2,7;
2022-05-31;22;295;945,5;12,8;7,1;2,5;
2022-06-30;18;203;946;11;6,7;2,5;
2022-07-31;12;147,8;944,9;15,7;9,5;3,2;
2022-08-31;16;105,4;947,2;13,3;8,5;3;
2022-09-30;19;55,6;945,9;13,9;7,7;3;
2022-10-31;19;98;943,3;16,4;7,5;2,7;
2022-11-30;7;78,2;944,9;18,2;6,8;2,9;
2022-12-31;13;137,6;940,8;21,6;6,6;2,7;
2023-01-31;13;86,8;941,5;23,2;6,4;2,8;
2023-02-28;14;138,4;942;21,5;8,2;2,5;
2023-03-31;14;89,4;943,5;22,3;5,8;2,7;
2023-04-30;13;62,2;944,3;17,5;6,3;2,5;
2023-05-31;10;null;null;15,8;6,1;null;
2023-06-30;7;null;947,5;14,1;7,3;2,7;
2023-07-31;7;163,8;947,2;13,5;8,2;null;
2023-08-31;9;65,8;944,9;15,4;9,3;3;
2023-09-30;19;427;942,8;17;9,3;3,3;
2023-10-31;15;232;942,2;16,8;8,8;2,8;
2023-11-30;17;275,8;940,9;19,5;9,1;2,9;
2023-12-31;18;125,6;941,9;22;6,4;2,7;
2024-01-31;18;180,8;942,5;21,3;7,4;2,7;
2024-02-29;14;149,2;943,4;23,2;6,6;2,7;
2024-03-31;15;72,6;943,6;21,7;6,7;2,5;
2024-04-30;19;330,2;943,6;19,5;8,7;2,7;
2024-05-31;25;763;944,4;14,4;8,7;2,6;
2024-06-30;14;343;945,2;15,7;7,3;3,1;
2024-07-31;16;74,2;949,7;12,2;7,4;2,5;
2024-08-31;11;77,4;946,8;14,5;7,3;2,7;
2024-09-30;11;121,8;943,8;17,9;8,5;3;
2024-10-31;10;47,8;943,6;18,4;7,6;3,1;
2024-11-30;12;49,8;942,1;20,8;7,1;2,9;
2024-12-31;16;147;940,8;19,5;7;2,8;

