Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-05-31;13;126,2;991,7;15,7;13,4;3;
2015-06-30;14;195;992,2;13,5;10,4;3;
2015-07-31;17;null;991,2;12,5;10,5;3;
2015-08-31;15;105;988,4;17,5;11,8;4,1;
2015-09-30;15;230;988,5;14,2;9,7;3,6;
2015-10-31;18;392,4;989;16;12,2;4,2;
2015-11-30;14;93,4;986,5;18,7;9,7;3,7;
2015-12-31;15;238,4;985,1;21,8;12;3,4;
2016-01-31;12;83;985,9;23,8;9,5;3,4;
2016-02-29;8;114,2;985,9;24,4;10,9;3;
2016-03-31;16;192,8;989,5;20,1;10,9;3,2;
2016-04-30;22;338;987,2;19,7;9,9;3,5;
2016-05-31;null;null;null;null;null;null;
2016-06-30;null;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;12;95;990,9;14,4;11,4;3,4;
2016-09-30;12;55;992,2;13,5;11,2;3,8;
2016-10-31;12;119,2;988,2;17,3;9,6;4;
2016-11-30;9;101,2;987,6;19,7;9,9;3,4;
2016-12-31;11;76,6;984,8;23;10;3,7;
2017-01-31;17;165,4;985,9;23,5;10,7;3,4;
2017-02-28;16;97,8;985,1;23,5;13,1;2,9;
2017-03-31;2;null;null;null;null;null;
2017-04-30;9;147,8;989,7;18;8,6;3,5;
2017-05-31;19;254,6;990,1;15,7;10,8;3,4;
2017-06-30;13;118,8;991;14;null;null;
2017-07-31;8;32,6;995,3;15;12,8;4,1;
2017-08-31;13;165,4;990,5;15,2;10,7;3,9;
2017-09-30;18;225;991,1;17,7;12,8;4,1;
2017-10-31;12;245,2;986,6;17,3;10,4;4,1;
2017-11-30;8;26,8;986,3;18,9;9,6;3,6;
2017-12-31;8;53,4;985;23,7;9;3,9;
2018-01-31;12;42,8;985,3;23,9;10,2;3,9;
2018-02-28;6;57,4;987,1;23;9;3,5;
2018-03-31;7;128,8;986,3;20,8;10,6;3,1;
2018-04-30;10;92,4;990,2;21,5;10,5;3,2;
2018-05-31;12;102,2;991,5;15,9;10,7;3,3;
2018-06-30;18;76,4;991,6;11,3;10,4;2,9;
2018-07-31;21;166,4;992,5;11,7;null;null;
2018-08-31;15;185,4;992,9;12,1;null;null;
2018-09-30;11;null;989,3;16,9;12,1;4,2;
2018-10-31;5;null;989,5;17,8;8;2,8;
2018-11-30;6;97,4;986,7;21,2;9,6;3,6;
2018-12-31;10;102,2;986,4;21,8;12,5;3,5;
2019-01-31;20;471,2;986,3;23,6;10,7;3,8;
2019-02-28;11;53,6;987;22,4;9,5;3,2;
2019-03-31;12;24,8;989,3;20,5;9,1;3,3;
2019-04-30;12;86,4;988,9;19,2;9,5;3,3;
2019-05-31;18;137,6;990,2;16,2;9,7;3,1;
2019-06-30;13;26,4;990,8;16,8;9,8;3,9;
2019-07-31;13;null;992,1;13,4;10,8;3,7;
2019-08-31;8;null;993,9;13,7;null;null;
2019-09-30;8;102;990,7;15;12,7;3,6;
2019-10-31;18;397,4;988,4;18;11,5;4,4;
2019-11-30;9;103,2;986,6;20,8;10,9;3,7;
2019-12-31;7;41;985,5;22,7;12,2;3,4;
2020-01-31;12;109,4;985,4;23,4;9,6;3,6;
2020-02-29;4;40,2;987,6;22,8;9,8;3,4;
2020-03-31;6;21,4;988,7;23,6;9,3;3,5;
2020-04-30;10;83;991;18,2;9,2;3,3;
2020-05-31;14;162,6;990,4;14,7;11,4;3,3;
2020-06-30;17;182,6;988,8;14,2;13,4;3,8;
2020-07-31;12;null;989,8;12,9;10,8;3,9;
2020-08-31;8;77,6;991,3;15,6;10,8;3,6;
2020-09-30;13;97;990,4;14,5;10,8;3,8;
2020-10-31;11;85,6;988,7;17,2;11,7;4,1;
2020-11-30;6;27;989;19,8;10,2;4;
2020-12-31;12;90,6;985,9;22;12,2;3,8;
2021-01-31;13;151,2;985,3;23,3;10,9;3,7;
2021-02-28;15;213,6;986,3;21,8;7,1;2,8;
2021-03-31;15;112,4;987,4;21;8,4;2,9;
2021-04-30;16;24,8;991,2;18,9;9,4;3,2;
2021-05-31;14;60,2;991,1;13,1;8,6;null;
2021-06-30;15;140,4;992,6;11,9;null;null;
2021-07-31;11;31,6;993,7;12,1;null;null;
2021-08-31;15;100;992,6;14,2;null;null;
2021-09-30;15;204,6;989,4;15,8;12,1;4;
2021-10-31;13;59,6;989,2;17,5;9,6;3,4;
2021-11-30;7;26,4;986,5;20;11,1;3,9;
2021-12-31;7;49;986,6;22,1;9,1;4;
2022-01-31;10;91,2;984,8;25,4;10,9;3,9;
2022-02-28;7;132,2;985,7;23,1;8,7;3,3;
2022-03-31;9;99,6;987,3;20,1;9,3;3,5;
2022-04-30;10;199,8;989,2;17,4;13,8;3;
2022-05-31;10;null;null;13,6;10,8;null;
2022-06-30;16;86,4;992,1;10,5;8,3;2,8;
2022-07-31;17;189,2;989,4;14,1;10,9;3,5;
2022-08-31;15;163,6;993,2;12,5;11;3,6;
2022-09-30;11;64,6;992;13,6;8,1;null;
2022-10-31;14;143,8;988,9;16,3;18,1;4;
2022-11-30;5;45;990;20,1;9,5;3,8;
2022-12-31;9;59,2;985,4;23,1;10,6;3,8;
2023-01-31;8;34;985,5;25,1;9,8;3,4;
2023-02-28;8;67,8;985,9;23,8;8,9;3,5;
2023-03-31;17;146,6;987,3;24;7,7;3,1;
2023-04-30;10;44,8;989,3;17,9;9,6;3,2;
2023-05-31;12;146,6;991,7;16,1;9,2;3;
2023-06-30;13;80,8;992,7;14,4;9,9;2,8;
2023-07-31;14;201,2;993,3;12,6;14,6;3,8;
2023-08-31;9;96,8;990,1;14,4;11,2;3,6;
2023-09-30;21;392,2;987,9;15,4;10,1;4,3;
2023-10-31;9;62,8;987,6;16,9;8;3,1;
2023-11-30;15;290,6;985,2;20;9,7;3,5;
2023-12-31;11;228,8;986,3;21,9;12,6;4;
2024-01-31;9;81;987,3;22,7;10;3,9;
2024-02-29;8;106,2;987,5;24,5;9;3,6;
2024-03-31;10;118,8;987,8;22,2;9,8;3,2;
2024-04-30;18;203,2;987,8;19,1;12,4;3,7;
2024-05-31;23;306,4;990,1;13,3;11,3;3,2;
2024-06-30;14;60;989,1;15,6;11,8;4,3;
2024-07-31;10;46,8;996;12,3;8,8;3,2;
2024-08-31;15;206,8;991,8;13,4;12,7;4,1;
2024-09-30;18;271,4;988,4;16,5;10,8;3,7;
2024-10-31;14;234,8;988,7;18,6;9,6;3,7;
2024-11-30;11;91,2;986,8;20,8;9,7;4,2;
2024-12-31;12;151,4;985,8;20,2;11,4;3,7;

