Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Retornos_Log,Target,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_4,Return_Lag_5,SMA_5,SMA_10,SMA_20,Close_SMA_5_Ratio,Close_SMA_10_Ratio,Close_SMA_20_Ratio,SMA_5_10_Ratio,SMA_10_20_Ratio
2025-06-02,136.787,137.026,138.471,136.483,"9,10B","-0,18%",-0.005533435180198707,1,0.00396288235160518,0.005606848291316498,0.0009840713437987412,0.002965407009684757,-0.005416442587922128,136.7346,136.7949,137.2098,1.000383224143706,0.999942249309002,0.9969185874478353,0.9995591940927622,0.9969761635101867
2025-05-30,137.027,138.546,138.637,136.726,"15,14B","-1,09%",0.001753015269206349,1,-0.005533435180198707,0.00396288235160518,0.005606848291316498,0.0009840713437987412,0.002965407009684757,136.9196,136.7763,137.1184,1.000784401940993,1.0018329198845122,0.9993334227937314,1.0010476961286423,0.997505075905203
2025-05-29,138.534,138.869,139.108,137.993,"8,83B","-0,25%",0.010937796162595373,1,0.001753015269206349,-0.005533435180198707,0.00396288235160518,0.005606848291316498,0.0009840713437987412,137.3792,136.8497,137.2018,1.0084059304465305,1.0123076630785453,1.0097097851485914,1.0038692083358602,0.9974337071379532
2025-05-28,138.888,139.541,139.547,138.58,"9,73B","-0,47%",0.002552070074725851,1,0.010937796162595373,0.001753015269206349,-0.005533435180198707,0.00396288235160518,0.005606848291316498,137.75639999999999,137.0257,137.2905,1.00821450037893,1.0135908811266792,1.011635910714871,1.005332576297731,0.9980712430940232
2025-05-27,139.541,138.136,140.382,138.136,"11,19B","1,02%",0.004690611949663126,0,0.002552070074725851,0.010937796162595373,0.001753015269206349,-0.005533435180198707,0.00396288235160518,138.15540000000001,137.3362,137.47920000000002,1.0100292858621522,1.016054033823566,1.0149971777548894,1.0059649240331392,0.9989598426525611
2025-05-26,138.136,137.824,138.8,137.795,"5,55B","0,23%",-0.01011975777918134,0,0.004690611949663126,0.002552070074725851,0.010937796162595373,0.001753015269206349,-0.005533435180198707,138.4252,137.5799,137.52775000000003,0.9979107850304714,1.004042014858275,1.0044227437735291,1.006144066102679,1.0003791961985853
2025-05-23,137.824,137.273,137.824,134.997,"10,68B","0,40%",-0.0022611982384289314,0,-0.01011975777918134,0.004690611949663126,0.002552070074725851,0.010937796162595373,0.001753015269206349,138.5846,137.75209999999998,137.5914,0.9945116556962319,1.0005219521154307,1.0016905126337838,1.0060434650361048,1.0011679509039082
2025-05-22,137.273,137.881,138.837,137.088,"13,22B","-0,44%",-0.004005865108107466,1,-0.0022611982384289314,-0.01011975777918134,0.004690611949663126,0.002552070074725851,0.010937796162595373,138.3324,137.8558,137.59924999999998,0.992341635076092,0.9957723940523359,0.9976289841696085,1.0034572357492395,1.0018644723717607
2025-05-21,137.881,140.109,140.109,137.538,"10,15B","-1,59%",0.004419350542264152,1,-0.004005865108107466,-0.0022611982384289314,-0.01011975777918134,0.004690611949663126,0.002552070074725851,138.131,137.94369999999998,137.55745000000002,0.9981901238679225,0.999545466737517,1.0023521081555378,1.0013578003199857,1.0028079177100184
2025-05-20,140.11,139.636,140.244,138.966,"9,65B","0,34%",0.0160368340772833,0,0.004419350542264152,-0.004005865108107466,-0.0022611982384289314,-0.01011975777918134,0.004690611949663126,138.2448,138.2001,137.62095,1.0134920083793388,1.0138198163387726,1.0180862724752302,1.0003234440496063,1.0042082982278497
2025-05-19,139.636,139.186,140.203,138.587,"9,59B","0,32%",-0.0033887916439507494,0,0.0160368340772833,0.004419350542264152,-0.004005865108107466,-0.0022611982384289314,-0.01011975777918134,138.5448,138.48499999999999,137.63995,1.0078761526957345,1.0083113694623966,1.0145019669071371,1.0004318157201142,1.0061395692166408
2025-05-16,139.187,139.335,139.335,137.713,"12,11B","-0,11%",-0.003220684004660412,1,-0.0033887916439507494,0.0160368340772833,0.004419350542264152,-0.004005865108107466,-0.0022611982384289314,138.81740000000002,138.701,137.73865,1.0026624904370778,1.0035039401302084,1.0105152039750644,1.000839215290445,1.0069867825770036
2025-05-15,139.334,138.425,139.408,138.321,"11,50B","0,66%",0.00105557579966637,0,-0.003220684004660412,-0.0033887916439507494,0.0160368340772833,0.004419350542264152,-0.004005865108107466,139.2296,138.781,137.81535,1.0007498405511472,1.0039846953113178,1.0110194546543618,1.0032324309523637,1.0070068392236424
2025-05-14,138.423,138.965,139.362,138.228,"11,16B","-0,39%",-0.006559714186720456,1,0.00105557579966637,-0.003220684004660412,-0.0033887916439507494,0.0160368340772833,0.004419350542264152,139.33800000000002,138.7345,137.88010000000003,0.9934332342935881,0.9977547041291099,1.0039374790125621,1.0043500354994614,1.0061966882820652
2025-05-13,138.963,136.565,139.419,136.55,"13,07B","1,76%",0.0038934962987960038,0,-0.006559714186720456,0.00105557579966637,-0.003220684004660412,-0.0033887916439507494,0.0160368340772833,139.10859999999997,138.6767,138.00645,0.9989533357391277,1.002064514082034,1.0069311977809732,1.0031144381139727,1.0048566570620432
2025-05-12,136.563,136.516,137.519,136.356,"10,92B","0,04%",-0.017421664035833208,0,0.0038934962987960038,-0.006559714186720456,0.00105557579966637,-0.003220684004660412,-0.0033887916439507494,138.494,138.5194,138.04964999999999,0.9860571577108033,0.9858763465622866,0.989231048394545,0.9998166321829289,1.0034027612529262
2025-05-09,136.512,136.232,137.286,136.105,"13,88B","0,21%",-0.0003735237615522782,0,-0.017421664035833208,0.0038934962987960038,-0.006559714186720456,0.00105557579966637,-0.003220684004660412,137.959,138.3882,138.07015,0.9895113765684007,0.9864424857032608,0.988714794617084,0.9968985795031656,1.0023035391791781
2025-05-08,136.232,133.458,137.635,133.458,"17,20B","2,12%",-0.0020532081245818855,0,-0.0003735237615522782,-0.017421664035833208,0.0038934962987960038,-0.006559714186720456,0.00105557579966637,137.33859999999999,138.2841,138.06995,0.9919425420093114,0.9851602606518031,0.986688269243235,0.9931626267951268,1.001551025404152
2025-05-07,133.398,133.517,134.11,132.872,"9,94B","-0,09%",-0.021022173858917026,1,-0.0020532081245818855,-0.0003735237615522782,-0.017421664035833208,0.0038934962987960038,-0.006559714186720456,136.3336,137.8358,137.88975,0.9784675237799046,0.9678037200785281,0.9674250624139938,0.9891015251480384,0.9996087453926055
2025-05-06,133.516,133.499,134.135,133.26,"11,14B","0,02%",0.0008841799807236705,0,-0.021022173858917026,-0.0020532081245818855,-0.0003735237615522782,-0.017421664035833208,0.0038934962987960038,135.24419999999998,137.1764,137.68824999999998,0.9872216331643059,0.9733161097681524,0.9696978500344074,0.9859144867484493,0.9962825440805589
2025-05-05,133.491,135.131,135.198,133.39,"10,80B","-1,22%",-0.0001872610086853611,1,0.0008841799807236705,-0.021022173858917026,-0.0020532081245818855,-0.0003735237615522782,-0.017421664035833208,134.6298,136.56189999999998,137.52345,0.9915412486685713,0.9775127616121336,0.9706780916272826,0.9858518371522366,0.9930081015274121
