Nome: SOLEDADE
Codigo Estacao: A837
Latitude: -28.859211
Longitude: -52.542387
Altitude: 660.44
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-01-31;9;82,2;938,3;20,7;9,3;3,5;
2013-02-28;20;312;937,4;20,8;12,6;2,1;
2013-03-31;14;158,2;939,2;18,1;17,2;2,6;
2013-04-30;9;96,4;940,6;17,8;11,3;1,7;
2013-05-31;17;171,2;940,4;14,7;12,1;1,8;
2013-06-30;21;98,2;941;13,1;11,4;2,1;
2013-07-31;8;66;943,2;12,3;10,5;2,7;
2013-08-31;15;253,4;942,1;11,8;11,8;4,2;
2013-09-30;15;178,2;940,6;15,1;13,2;3,4;
2013-10-31;11;157;939,5;16,9;11,9;3,4;
2013-11-30;11;96;937,2;20,2;12,7;4,4;
2013-12-31;10;90,6;935,6;22,4;13,6;3;
2014-01-31;13;220,2;938,1;22,8;11,4;2,8;
2014-02-28;16;249,6;938,4;22,5;11,2;3;
2014-03-31;14;73,4;938,6;19,8;10,7;2,7;
2014-04-30;13;103,4;940,8;18;16,1;3,5;
2014-05-31;22;172,6;941;14,4;12,7;2;
2014-06-30;17;102,6;940,7;13,1;13;3,3;
2014-07-31;12;21;943,8;13,4;15,3;3,5;
2014-08-31;19;48,6;942,2;14,9;11,5;3;
2014-09-30;17;264,8;939;16,5;11,4;3,9;
2014-10-31;13;252;939,8;19;17,8;3,4;
2014-11-30;13;76,6;937,6;20,6;10,8;3,1;
2014-12-31;15;207,8;937;21,2;14,8;2,9;
2015-01-31;7;null;null;null;14,6;null;
2015-02-28;null;null;null;null;9,7;null;
2015-03-31;9;63,2;939,2;20,7;13,1;4;
2015-04-30;14;142,6;940,7;18,2;12,5;3,9;
2015-05-31;10;152,2;941,8;15,5;12,3;4,2;
2015-06-30;11;270,6;943;13,7;11,8;4;
2015-07-31;20;258,2;941,4;13,5;14,3;4,3;
2015-08-31;7;69,6;940,6;18,1;13,5;5;
2015-09-30;14;206,6;938,1;15,8;14,3;4,5;
2015-10-31;16;216;938,7;17,3;16,9;5;
2015-11-30;16;151;936,7;18,5;11,7;4,8;
2015-12-31;18;364,8;936,7;21;13,1;4,3;
2016-01-31;8;76,2;937,1;23;9,8;4,2;
2016-02-29;15;221,6;937,9;22,6;12,5;3,5;
2016-03-31;18;297;939,9;19,4;9,4;4;
2016-04-30;15;188;939,4;20;13,2;4,2;
2016-05-31;9;53;942,6;12,6;10,2;3,9;
2016-06-30;6;15,6;944,4;10,7;10,3;3,3;
2016-07-31;13;188,4;941,8;13,1;11,3;4,4;
2016-08-31;9;96,8;941,1;14,5;11,9;4,1;
2016-09-30;9;76,2;942;14,1;14,2;4,3;
2016-10-31;14;317;938,6;17;13,3;4,8;
2016-11-30;11;109,8;938,3;18,8;13,1;4,2;
2016-12-31;7;null;null;21;11,1;null;
2017-01-31;1;null;null;null;9,8;null;
2017-02-28;null;null;null;null;8,7;null;
2017-03-31;1;null;null;null;9;null;
2017-04-30;11;197,8;940,7;17,3;12,8;4,4;
2017-05-31;19;314;940,5;15,8;15,6;4,7;
2017-06-30;12;184;942;14;11,4;4,7;
2017-07-31;4;31,8;946,6;14,6;11,1;4,5;
2017-08-31;15;180,8;941,2;15;13,5;4,8;
2017-09-30;13;111,8;941,7;19,1;12,6;4,9;
2017-10-31;18;244,2;937,5;17,5;18,8;4,8;
2017-11-30;null;null;null;null;null;null;
2017-12-31;7;87,2;936,3;21,8;17,4;4,4;
2018-01-31;16;245,8;937,1;21,3;10,1;4,2;
2018-02-28;10;149;938,1;20,6;10,5;3,7;
2018-03-31;11;155,6;937,4;20,2;11,8;3,6;
2018-04-30;10;122,4;941,7;20,6;9,7;3,7;
2018-05-31;11;113,8;942,2;15,9;9,3;4;
2018-06-30;17;185;942,5;11,8;13,4;3,9;
2018-07-31;16;162;942,3;13,1;13,3;4,7;
