Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-10-31;15;281,4;1012,9;15,9;8,9;3,5;
2015-11-30;10;116;1010,1;18,8;10,6;3,3;
2015-12-31;10;128,6;1008;22,2;9,6;2,9;
2016-01-31;8;104;1009,2;23,6;6,9;2,8;
2016-02-29;9;90,4;1008,7;24,1;6,5;2,4;
2016-03-31;19;161,6;1012,8;20,5;7,4;2,5;
2016-04-30;21;417,6;1010,8;19;8,8;2,7;
2016-05-31;17;72;1017,1;13,1;10;2,6;
2016-06-30;15;42,4;1018,7;10;10;2,2;
2016-07-31;17;87;1014,4;11,8;11,5;2,4;
2016-08-31;15;113,8;1014,3;13,5;8,2;2,2;
2016-09-30;15;117,8;1015,6;13,6;11,8;3,4;
2016-10-31;12;149,2;1012;16,9;17,1;3,7;
2016-11-30;8;58,2;1010,7;19,5;13,7;2,8;
2016-12-31;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;3;null;null;null;null;null;
2017-04-30;8;138,8;1012,7;18,6;11,5;3;
2017-05-31;16;162,4;1013,6;16,2;10,1;2,5;
2017-06-30;13;116,6;1013,6;14,2;9,9;2,4;
2017-07-31;14;39,2;1018,5;14,6;8,3;2,4;
2017-08-31;12;null;1013,9;14,9;10,8;3;
2017-09-30;17;104,8;1014,9;17,2;10,6;2,9;
2017-10-31;14;162,6;1009,8;17,6;9,6;3,3;
2017-11-30;6;null;1008,9;19;11;3;
2017-12-31;3;null;1007,8;23,2;9,4;3,1;
2018-01-31;10;123,8;1008,2;23,5;8;3;
2018-02-28;3;8,8;1010,5;22,3;10,3;2,6;
2018-03-31;12;88,2;1009,1;20,5;10,3;2,5;
2018-04-30;14;102,6;1013,1;21,7;7,9;2,1;
2018-05-31;17;76,6;1014,5;16;9;2,2;
2018-06-30;17;59,6;1015,3;10,9;10,8;2,6;
2018-07-31;19;271,2;1016;11,8;10,6;2,9;
2018-08-31;16;183,8;1016,4;12,1;10;2,8;
2018-09-30;16;203;1013;16,8;13,8;3,1;
2018-10-31;11;100,4;1012,8;17;8,6;2,6;
2018-11-30;6;47,4;1010;20,9;9,8;3,3;
2018-12-31;10;113,6;1009,2;21,5;10,4;3,4;
2019-01-31;17;300;1009;23,8;10,5;2,7;
2019-02-28;9;53,2;1009,9;22,6;8;2,2;
2019-03-31;10;26,8;1012,3;21;8,1;2,7;
2019-04-30;12;90;1012;19,3;7,7;2,2;
2019-05-31;15;38;1013,6;16,4;7,2;1,9;
2019-06-30;16;155,6;1013,7;15,3;10,3;2,2;
2019-07-31;15;160,2;1016;11,2;10,8;2,2;
2019-08-31;16;190;1018,2;11,8;9;2,7;
2019-09-30;10;120,6;1014,9;13,8;10,2;2,6;
2019-10-31;19;359;1012;17,8;10,2;3,1;
2019-11-30;7;71,2;1010,1;20,9;8,5;2,6;
2019-12-31;8;84,8;1008,1;22,6;10;2,6;
2020-01-31;9;58,4;1008,4;23,2;11,7;2,5;
2020-02-29;4;86,8;1010,6;22,7;8,6;2,8;
2020-03-31;11;40,2;1012,2;22,5;8,1;2,5;
2020-04-30;11;80,8;1013,7;18,5;11,8;3,1;
2020-05-31;10;163,4;1012,9;15;9;2,6;
2020-06-30;18;139,2;1012,5;13,4;13,2;2,2;
2020-07-31;10;62,6;1014,1;11,5;13;2,3;
2020-08-31;8;63,6;1015,5;13,4;7,5;2,2;
2020-09-30;11;163,4;1014,3;13,8;8,6;2,5;
2020-10-31;13;67,8;1012,5;16,8;8,4;2,9;
2020-11-30;9;39,6;1012,8;19,3;7,3;2,4;
2020-12-31;5;null;1008,2;22,5;7,2;2,7;
2021-01-31;6;173,2;1008,3;23,4;6,6;2,3;
2021-02-28;15;302,2;1009;22,2;9,7;1,5;
