Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.22666666
Longitude: -52.40361111
Altitude: 680.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-12-31;12;87,4;933,7;20,9;7,9;3,2;
2012-01-31;12;90;934,5;21,7;6,9;3,1;
2012-02-29;11;84;935;23,4;8,9;3;
2012-03-31;7;109,8;937;20,5;9,3;2,6;
2012-04-30;7;56,2;937;18;9,2;2,6;
2012-05-31;6;30;940,3;15,7;8,1;3;
2012-06-30;13;178;939,3;13;8,8;2,4;
2012-07-31;14;205;939,6;11,7;9,1;1,2;
2012-08-31;8;27,4;941,8;16,5;8,6;2,6;
2012-09-30;10;139,8;938,9;16,5;11,8;2,9;
2012-10-31;15;229,2;935,5;18,8;9,8;2,8;
2012-11-30;8;33,6;935;21,5;10,4;2,9;
2012-12-31;16;176,4;933,2;22,7;13,8;3,7;
2013-01-31;8;96,2;935,9;21,1;7,3;3,5;
2013-02-28;12;166,2;935,2;21,2;9,5;3,1;
2013-03-31;15;166,6;936,9;18,4;7,7;3,3;
2013-04-30;9;96;938,3;18;8,7;2,9;
2013-05-31;17;85;938,3;14,7;12,6;3;
2013-06-30;24;119,4;938,8;13,4;9,7;3;
2013-07-31;8;83;941,1;12,2;13;3,3;
2013-08-31;18;359,8;939,8;11,9;11,7;3,7;
2013-09-30;15;184,2;938,5;15,2;9,3;3,6;
2013-10-31;14;190,8;937,3;17,5;11;3,5;
2013-11-30;10;103,4;935;20,7;14;4,3;
2013-12-31;9;66,8;933,3;23,1;9,4;3,6;
2014-01-31;15;188,4;935,9;23,1;11,6;3,3;
2014-02-28;17;135,8;936,1;22,7;9,1;3,5;
2014-03-31;18;214,8;936,4;20,1;9;3,2;
2014-04-30;7;134,2;938,5;18,4;9,4;3,5;
2014-05-31;21;227,8;938,8;14,7;9;2,8;
2014-06-30;22;292,4;938,6;13,4;10,3;3,7;
2014-07-31;11;113;941,7;13,3;13,3;3,7;
2014-08-31;12;131,6;940,1;15;9,8;3,5;
2014-09-30;17;261,4;936,9;16,9;12,8;4,1;
2014-10-31;13;176,4;937,5;19,7;14;3,9;
2014-11-30;13;142,8;935,3;21,1;8,2;3,6;
2014-12-31;13;215,2;934,8;21,6;10,2;3,6;
2015-01-31;21;326,2;936,6;21,7;8,7;3,1;
2015-02-28;11;110;935,6;21,6;7,5;3;
2015-03-31;7;44;936,8;21,3;6,9;2,3;
2015-04-30;13;148,6;938,3;18,7;7,8;1,9;
2015-05-31;14;169,4;939,6;15,5;8;2,1;
2015-06-30;14;177,8;940,9;13,6;9,6;2,6;
2015-07-31;23;340,6;939,3;13,4;10,5;2,7;
2015-08-31;7;56,6;938,6;17,9;9,4;3,8;
2015-09-30;13;204,2;935,8;16,4;13,1;3,3;
2015-10-31;17;263,6;936,4;18,3;10,1;3,8;
2015-11-30;20;207,6;934,3;19,4;9,4;3,5;
2015-12-31;18;362,4;934,5;21,7;11,9;3,3;
2016-01-31;9;191,2;934,7;23,2;7,9;3,4;
2016-02-29;18;226;935,7;22,8;7,5;2,8;
2016-03-31;16;206;937,6;19,9;8,4;3,1;
2016-04-30;14;190,8;937,3;20,3;12,9;3,1;
2016-05-31;12;75;940,3;13,5;7,6;2,7;
2016-06-30;10;20;942,5;9,9;8;2,7;
2016-07-31;17;198,6;939,7;12,6;9,3;3,4;
2016-08-31;14;187,4;938,9;14,3;10,2;3,3;
2016-09-30;12;71,8;939,7;14,7;10,6;3,2;
2016-10-31;16;361,2;936,3;17,4;9,7;3,7;
2016-11-30;10;78,8;935,9;19,8;12;3,4;
2016-12-31;17;153,6;934,5;21,8;12,1;3,3;
2017-01-31;19;211,4;935,5;22,1;8,4;3,1;
