Nome: RIO PARDO
Codigo Estacao: A813
Latitude: -29.87222221
Longitude: -52.38194443
Altitude: 106.99
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;183,6;998,6;24,1;9;2,5;
2010-02-28;11;124,8;998,7;25,4;8,2;2,5;
2010-03-31;12;37,4;1000,1;23,1;7,6;2,6;
2010-04-30;15;123,6;1004,4;19,4;7,3;2,2;
2010-05-31;19;97,6;1005,1;16,2;9,2;2,5;
2010-06-30;14;165,2;1006,9;14,3;6,1;2,5;
2010-07-31;19;132,2;1006,8;13,9;11,3;2,8;
2010-08-31;8;61,2;1007,8;13,5;9,8;2,6;
2010-09-30;11;134,8;1003,8;16,8;12,2;3,2;
2010-10-31;10;74,2;1002,7;17,7;11,5;2,8;
2010-11-30;8;81,4;999,1;20,4;11,9;2,8;
2010-12-31;10;117,6;997;22,9;10,3;3;
2011-01-31;12;79,4;996,8;25,3;10,3;2,7;
2011-02-28;15;154,8;999,3;24;6,4;2,7;
2011-03-31;13;157,8;1001,6;21,9;6,7;2,8;
2011-04-30;20;191,4;1002,4;19,7;7,7;2,1;
2011-05-31;20;32,6;1006,1;15,8;8,5;2,4;
2011-06-30;15;118;1004,7;13;11,5;2,5;
2011-07-31;20;221;1005,6;12,5;8,7;2,5;
2011-08-31;20;182,4;1004,1;14,2;12,4;3,5;
2011-09-30;9;73,8;1006,3;16,2;7;2,6;
2011-10-31;13;167,4;1000,8;18,8;9,2;2,9;
2011-11-30;4;36;1001;21,3;8,5;2,9;
2011-12-31;11;60,8;998,6;22,4;8,5;2,8;
2012-01-31;4;42,6;999,2;24,2;7,2;2,7;
2012-02-29;12;110,8;998,3;25,5;8,1;1,9;
2012-03-31;10;81,4;1001,4;22,6;9,7;1,8;
2012-04-30;11;96,2;1002,4;18,8;7,9;1,8;
2012-05-31;7;63,8;1005,8;17,9;8,2;1,8;
2012-06-30;13;30;1005,3;14,1;8,3;1,8;
2012-07-31;14;156,8;1006,3;12,5;7,9;2;
2012-08-31;12;75,8;1007;18,7;9,7;2,2;
2012-09-30;9;232,2;1004,8;17,2;12,9;3;
2012-10-31;15;211,2;1000,2;20,2;14,7;2,7;
2012-11-30;4;42,6;1000,1;22,7;9,8;2,6;
2012-12-31;13;195,4;996,7;24,4;10,6;2,3;
2013-01-31;8;102;1000,8;23;9,5;2,2;
2013-02-28;15;110;999,3;23,6;8,4;2,1;
2013-03-31;15;126,2;1002,1;20,6;7,6;2,1;
2013-04-30;11;114,2;1003,4;19,6;8,4;2,2;
2013-05-31;15;62;1003,8;15,7;10;1,9;
2013-06-30;19;72,8;1005;13,7;12;1,9;
2013-07-31;13;null;null;13,9;7,7;null;
2013-08-31;18;191,6;1006,7;13,3;9,3;2,3;
2013-09-30;14;null;1004,1;17,3;8,9;2,4;
2013-10-31;9;null;null;19,2;8,2;null;
2013-11-30;11;405;999,7;21,7;13,1;3,2;
2013-12-31;6;null;997,5;24,4;7,5;2,7;
2014-01-31;3;null;null;null;8,6;null;
2014-02-28;12;175;999,9;25;8;2,4;
2014-03-31;15;160,4;1000,9;21,9;7,9;2,2;
2014-04-30;10;75;1003,9;20;13;2,6;
2014-05-31;17;109;1004,8;15,6;11,1;2;
2014-06-30;7;null;null;null;10,7;null;
2014-07-31;11;null;1007,4;14,4;7,1;2,3;
2014-08-31;14;115,6;1005,7;15,2;11,8;2,2;
2014-09-30;15;229;1002,3;18;11;2,7;
2014-10-31;13;179;1002,7;20,6;8,5;2,3;
2014-11-30;10;49,4;1000,1;22,5;10,8;2,3;
2014-12-31;17;229,4;999;23,4;9,3;2,4;
2015-01-31;18;192,6;1000,3;24,3;7,8;2;
2015-02-28;14;121,6;1000;23,7;12,4;2;
2015-03-31;10;14,8;1001,6;23;7,6;2;
2015-04-30;10;75,4;1003,8;20,3;7,4;1,7;
2015-05-31;16;126,4;1005,4;17,4;8,2;2;
2015-06-30;14;148,8;1006,6;14,8;7,3;1,7;
2015-07-31;23;286;1005,4;14,7;7,5;1,7;
2015-08-31;11;100;1003;19,3;9,3;2,1;
2015-09-30;15;162;1001,7;16,5;9,8;2,2;
2015-10-31;13;410;1002,3;18,1;9,7;2,5;
2015-11-30;14;192,8;999,8;20,3;8,1;2,7;
2015-12-31;16;185,4;998,7;22,9;11,4;2,2;
2016-01-31;7;31;999;25,1;15,6;2,5;
2016-02-29;5;null;null;25,3;9,6;null;
2016-03-31;12;207,8;1002,8;21,7;8,3;2,3;
2016-04-30;9;null;null;null;9;null;
2016-05-31;15;56,2;1007,1;14,4;7,5;1,1;
2016-06-30;11;6,2;1009,9;10,9;9,3;,6;
2016-07-31;12;null;1006,4;13,2;13,1;1,5;
2016-08-31;14;84;1004,7;15,8;6,7;,6;
2016-09-30;6;56,4;1005,6;15,8;13,3;1,8;
2016-10-31;11;351,8;1001,2;18,7;10,4;3,1;
2016-11-30;11;187,2;1001,1;20,5;null;null;
2016-12-31;12;142,4;998,5;23,8;8;2,6;
2017-01-31;6;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;2;null;null;21,2;6,8;null;
2017-04-30;11;56,4;1003,6;19,3;8,9;2,6;
2017-05-31;16;183;1004;17,4;5,8;null;
2017-06-30;13;97,6;1005,5;15,5;6,1;null;
2017-07-31;2;null;null;null;null;null;
2017-08-31;10;null;1003,3;17,3;8,6;2,8;
2017-09-30;9;null;1004,5;19,7;8,7;2,7;
2017-10-31;10;220,6;1000,2;19,3;8,4;3,2;
2017-11-30;11;79,6;999,6;20,6;7,9;2,8;
2017-12-31;12;67,6;998,2;23,8;8,3;2,7;
2018-01-31;14;57,8;998,7;24,4;7,6;2,6;
2018-02-28;7;50,2;1000,3;23,5;7,9;2,5;
2018-03-31;12;138,2;999,5;22,5;7,9;2,3;
2018-04-30;8;106,6;1003,8;22,6;6,3;2;
2018-05-31;13;61,4;1005,4;17,2;7,7;2,4;
2018-06-30;18;139,6;1006,6;12,2;9,3;2,4;
2018-07-31;18;136,6;1006,4;13,4;7,7;null;
2018-08-31;1;null;null;null;null;null;
2018-09-30;10;null;null;null;10,2;null;
2018-10-31;9;73,8;1001,9;19,6;7;2,8;
2018-11-30;12;139,8;1000,2;22,6;8,3;2,8;
2018-12-31;13;69;1000;23,5;9,4;2,5;
2019-01-31;16;98,2;1000;25,6;9,4;2,4;
2019-02-28;9;69,4;1000,3;23,9;9,2;2,4;
2019-03-31;9;76,8;1002,9;22;6,4;2,3;
2019-04-30;13;150,4;1002,3;21,1;6,3;2,2;
2019-05-31;21;187,2;1003,7;18,4;6,9;2,2;
2019-06-30;11;42;1005,5;18;8,9;2,2;
2019-07-31;18;144,8;1007,2;12,9;9;2,3;
2019-08-31;8;87,8;1008,8;14,8;7,9;2,6;
2019-09-30;10;71,6;1004,8;16,3;6,8;2,4;
2019-10-31;16;252;1002,1;20,1;8,7;2,8;
2019-11-30;12;116,8;1000,2;22,1;8,3;2,8;
2019-12-31;3;21,2;999;24,9;9,8;2,8;
2020-01-31;13;123;998,8;24,9;7,1;2,7;
2020-02-29;5;23,6;1001,1;24,5;7,3;2,6;
2020-03-31;3;17,2;1002,3;24,7;7;2,6;
2020-04-30;7;26,6;1004,6;20,1;9,3;2,8;
2020-05-31;9;161,8;1004,5;16,6;10,2;2,4;
2020-06-30;13;76,8;1003,8;16;10;2,6;
2020-07-31;24;147,8;1005,5;13;11;2,5;
2020-08-31;null;null;1006,3;15,7;6,5;2,4;
2020-09-30;17;129,6;1004,3;16,5;9,3;2,8;
2020-10-31;9;73,4;1002,1;19,2;7,6;3,1;
2020-11-30;5;37,8;1002,3;21,5;7;2,9;
2020-12-31;11;49,6;999,3;23,6;11,8;2,9;
2021-01-31;11;187,4;998,9;24,7;6,6;2,7;
