Data,day_of_week,month,quarter,year,is_month_start,is_month_end,is_quarter_end,Target,Abertura_shifted,Máxima_shifted,Mínima_shifted,Último_shifted,Volume_shifted,MA_5_shifted,MA_10_shifted,MA_20_shifted,MA_50_shifted,BB_Upper_shifted,BB_Lower_shifted,BB_Width_shifted,BB_Position_shifted,RSI_shifted,MACD_shifted,Signal_Line_shifted,atr_5_shifted,atr_10_shifted,atr_20_shifted,volatility_5_shifted,volatility_10_shifted,volatility_20_shifted,Price_Range_shifted,Price_Position_shifted,Gap_shifted,hl_close_ratio_shifted,true_range_shifted,high_close_prev_shifted,low_close_prev_shifted,returns_shifted,Variacao_shifted,doji_prev,hammer_prev,shooting_star_prev,engulfing_bullish_prev,bullish_candle_prev,bearish_candle_prev,body_size_prev,upper_shadow_prev,lower_shadow_prev
2011-01-24,0,1,1,2011,0,0,0,0,69.56,70.027,69.095,69.133,2069999.9999999998,70.0564,70.4126,,,,,,,44.32113988217557,-0.12245267687600858,-0.012408396473363996,0.7885999999999995,0.8132000000000005,,0.006027945876471212,0.009105219719117957,,0.9320000000000022,0.04077253218883757,-0.001999999999995339,0.013481260758248625,0.9320000000000022,0.4650000000000034,0.46699999999999875,-0.0061671602311607066,-0.0062,0,0,0,0,0,1,0.4270000000000067,0.46699999999999875,0.0379999999999967
2011-01-26,2,1,1,2011,0,1,0,0,69.134,69.513,68.786,69.427,1470000.0,69.82000000000001,70.34259999999999,,,,,,,43.844134309796935,-0.1573472038541155,-0.04223572254052378,0.8548000000000002,0.8392000000000011,,0.007370576038675429,0.009253016595084764,,0.7270000000000039,0.8817056396148583,0.0010000000000047748,0.010471430423322393,0.7270000000000039,0.38000000000000966,0.3469999999999942,0.004252672385112843,0.0043,0,0,0,0,1,0,0.29300000000000637,0.08599999999999852,0.347999999999999
2011-01-27,3,1,1,2011,0,1,0,0,69.427,69.556,68.515,68.709,2540000.0,69.37780000000001,70.1712,,,,,,,33.41687552213875,-0.2264395869851512,-0.07992518671347473,0.9659999999999996,0.8912999999999996,,0.006375665827128327,0.009489236816784034,,1.0409999999999968,0.18635926993276006,0.0,0.015150853599965023,1.0409999999999968,0.12899999999999068,0.9120000000000061,-0.010341797859622415,-0.0103,0,0,0,0,0,1,0.7180000000000035,0.12899999999999068,0.19400000000000261
2011-01-28,4,1,1,2011,0,1,0,0,68.717,69.108,67.775,68.051,2300000.0,68.9764,69.81300000000002,,,,,,,32.75109170305683,-0.31806017073476767,-0.128425894597549,0.9877999999999986,0.9036000000000002,,0.005867672149150409,0.006714536396033015,,1.3329999999999984,0.2070517629407326,0.007999999999995566,0.01958824998897883,1.3329999999999984,0.3990000000000009,0.9339999999999975,-0.009576620238978872,-0.0096,0,0,0,0,0,1,0.6659999999999968,0.39100000000000534,0.27599999999999625
2011-01-31,0,1,1,2011,0,1,0,1,68.051,68.182,65.898,66.698,2540000.0,68.4036,69.4107,,,,,,,29.415369530579724,-0.4713961666421653,-0.19802294825419758,1.2634000000000014,1.0114999999999994,,0.008689852871537703,0.00789497135480183,,2.284000000000006,0.3502626970227649,0.0,0.034243905364478786,2.284000000000006,0.13100000000000023,2.153000000000006,-0.01988214721311965,-0.0199,0,0,0,0,0,1,1.3530000000000086,0.13100000000000023,0.7999999999999972
2011-02-01,1,2,1,2011,1,0,0,0,66.697,67.166,66.271,66.575,2250000.0,67.89200000000001,68.9742,69.77965,,72.5141108840347,67.04518911596531,5.468921768069379,-0.08597473796581592,28.37311251826604,-0.59190867854565,-0.27771892638263757,1.2560000000000002,1.0223,0.9734999999999999,0.009162662569259869,0.0074155935313006795,,0.894999999999996,0.33966480446927755,-0.000999999999990564,0.013443484791588373,0.894999999999996,0.4680000000000035,0.4269999999999925,-0.001844133257368874,-0.0018,0,0,0,0,0,1,0.12199999999999989,0.4689999999999941,0.30400000000000205
2011-02-02,2,2,1,2011,1,0,0,1,66.575,67.922,66.575,67.847,2110000.0,67.576,68.69800000000001,69.6739,,72.53912841194757,66.80867158805243,5.730456823895139,0.18119470120041528,35.981715280801,-0.5937710448292535,-0.3415177907333966,1.3799999999999983,1.1173999999999993,0.9825499999999998,0.014669854270861994,0.010961940260117955,0.010137171597940357,1.3469999999999942,0.9443207126948752,0.0,0.01985349389066568,1.3469999999999942,1.3469999999999942,0.0,0.019106271122793617,0.0191,0,0,0,0,1,0,1.2719999999999914,0.07500000000000284,0.0
2011-02-03,3,2,1,2011,1,0,0,0,67.844,68.012,66.643,66.688,2550000.0,67.17179999999999,68.2748,69.4924,,72.63253659776635,66.35226340223366,6.280273195532686,0.05345891608746571,22.93969574258513,-0.6658793178669384,-0.40687232752581115,1.4455999999999989,1.2057999999999993,1.0131000000000001,0.015619069881954415,0.011249231599388721,0.010582960662712193,1.3689999999999998,0.03287070854638547,-0.0030000000000001137,0.02052843090211132,1.3689999999999998,0.16500000000000625,1.2039999999999935,-0.017082553392191113,-0.0171,0,0,0,0,0,1,1.1559999999999917,0.16800000000000637,0.045000000000001705
2011-02-04,4,2,1,2011,1,0,0,1,66.688,66.849,66.091,66.765,2380000.0,66.9146,67.94550000000001,69.2761,,72.54588672409267,66.00631327590733,6.539573448185337,0.11601471106700346,26.17441580342087,-0.708677366899849,-0.46759175966460764,1.3306000000000011,1.1591999999999998,0.9824500000000007,0.015716964127843618,0.011237601091272722,0.010137478598055936,0.7580000000000098,0.8891820580474906,0.0,0.011353253950423272,0.7580000000000098,0.16100000000000136,0.5970000000000084,0.0011546305182341676,0.0012,0,0,0,0,1,0,0.07699999999999818,0.08400000000000318,0.5970000000000084
2011-02-07,0,2,1,2011,0,0,0,1,66.752,66.946,65.16,65.269,2680000.0,66.6288,67.5162,69.0106,,72.6736199447709,65.34758005522909,7.326039889541818,-0.01072612986195422,20.398789017642827,-0.8363983598503637,-0.541703060424469,1.2310000000000003,1.2472000000000008,1.0368500000000005,0.016392502804221533,0.012558845025429114,0.010996214273788751,1.7860000000000014,0.06103023516237894,-0.01300000000000523,0.027363679541589442,1.7860000000000014,0.18099999999999739,1.605000000000004,-0.022406949749119942,-0.022400000000000003,0,0,0,0,0,1,1.4829999999999899,0.19400000000000261,0.10900000000000887
